ID,Node
43,"[632.6756518270004, 2021.1086194204613, 179]"
43,"[723.8924266000652, 1910.0928547741735, 208]"
43,"[666.6167773239547, 1995.6527752977456, 205]"
44,"[728.8421740683709, 1995.6527752977456, 113]"
44,"[726.7208537248111, 1914.3354954612928, 66]"
44,"[718.2355723505727, 1965.247183706724, 75]"
44,"[747.2269503792213, 1973.0253582997761, 93]"
44,"[728.8421740683709, 1999.8954159848652, 98]"
44,"[738.034562223796, 1976.560892205709, 101]"
44,"[715.4071452258265, 1928.4776310850236, 67]"
44,"[732.3777079743036, 1953.9334752077393, 84]"
44,"[720.3568926941323, 1947.5695141770605, 69]"
44,"[726.7208537248114, 2004.845163453171, 88]"
44,"[699.1436892585361, 2002.7238431096112, 72]"
44,"[728.1350672871845, 2004.8451634531707, 94]"
44,"[728.8421740683709, 1987.167493923507, 107]"
50,"[499.03247018274305, 2224.0482656210006, 15]"
50,"[536.50912958563, 2144.145199346921, 24]"
50,"[506.81064477579525, 2180.9147519686207, 12]"
50,"[528.0238482113916, 2122.9319959113245, 16]"
51,"[317.3060274178001, 2335.0640302672887, 197]"
51,"[309.52785282474815, 2347.0848455474597, 190]"
61,"[71.23286756488142, 2617.9067427419077, 206]"
61,"[78.30393537674718, 2600.9361799934304, 207]"
61,"[25.978033568942465, 2651.847868238862, 177]"
68,"[639.7467196388659, 2120.103568786578, 250]"
68,"[647.5248942319179, 2079.798482258945, 251]"
68,"[659.5457095120892, 2083.3340161648775, 264]"
68,"[663.7883501992085, 2050.8071042302963, 260]"
68,"[651.0604281378507, 2019.6944058580882, 238]"
68,"[663.7883501992087, 2029.5939007947, 232]"
68,"[700.557902820909, 1968.782717612657, 270]"
68,"[646.110680669545, 2119.396462005391, 248]"
68,"[681.4660197288722, 1992.117241391813, 248]"
68,"[704.0934367268419, 1962.418756581978, 269]"
68,"[663.7883501992087, 2005.5522702343574, 236]"
68,"[672.9807383546336, 2067.070560197587, 268]"
68,"[670.1523112298876, 2009.08780414029, 262]"
68,"[624.8974772339484, 2146.2665196904804, 241]"
68,"[687.1228739783646, 1973.7324650809628, 261]"
68,"[639.7467196388659, 2139.9025586598013, 247]"
68,"[646.8177874507314, 2046.5644635431772, 235]"
68,"[683.587340072432, 1982.924853236388, 254]"
68,"[679.3446993853124, 2004.1380566719843, 263]"
68,"[676.5162722605664, 2035.2507550441924, 273]"
68,"[660.9599230744625, 2019.6944058580884, 243]"
68,"[665.2025637615816, 2047.97867710555, 273]"
68,"[675.1020586981933, 2008.3806973591034, 262]"
68,"[699.8507960397226, 1975.146678643336, 276]"
68,"[659.5457095120894, 2066.3634534164003, 260]"
68,"[677.9304858229395, 2018.2801922957153, 265]"
68,"[663.7883501992085, 2001.309629547238, 241]"
71,"[2167.097367001809, 575.7823586751582, 6]"
71,"[2208.816667091815, 511.4356415871823, 24]"
71,"[2164.2689398770626, 581.4392129246505, 10]"
71,"[2175.5826483760475, 639.4219689819474, 37]"
71,"[2166.390260220622, 526.9919907732864, 1]"
71,"[2178.4110755007932, 628.1082604829627, 31]"
71,"[2183.3608229690994, 490.22243815158595, 4]"
71,"[2181.23950262554, 499.414826307011, 2]"
71,"[2210.9379874353745, 523.4564568673536, 27]"
71,"[2210.2308806541882, 555.2762620207483, 29]"
71,"[2205.281133185882, 486.6869042456532, 10]"
71,"[2191.1389975621514, 498.0006127446379, 3]"
71,"[2223.6659094967326, 478.20162287141466, 18]"
71,"[2218.716162028427, 481.73715677734737, 14]"
71,"[2213.0593077789345, 471.8376618407357, 17]"
71,"[2145.8841635662125, 622.4514062334704, 12]"
71,"[2169.2186873453684, 563.7615433949868, 8]"
71,"[2161.4405127523164, 571.5397179880389, 1]"
71,"[2208.1095603106287, 554.5691552395617, 27]"
71,"[2187.6034636562185, 563.7615433949868, 25]"
71,"[2188.310570437405, 513.5569619307421, 11]"
71,"[2191.846104343338, 628.8153672641492, 39]"
71,"[2164.9760466582493, 582.1463197058371, 10]"
71,"[2146.5912703473987, 637.3006486383878, 10]"
71,"[2231.4440840897846, 450.62445840513925, 17]"
71,"[2203.1598128423225, 507.19300090006305, 16]"
71,"[2204.574026404696, 579.317892581091, 31]"
74,"[1896.9825765885475, 991.5611460128482, 180]"
74,"[1888.497295214309, 1005.703281636579, 200]"
74,"[1868.6983053410856, 1039.6444071335334, 190]"
74,"[1894.1541494638013, 1025.5022715098025, 204]"
74,"[1924.559741054823, 787.2072862499359, 180]"
74,"[1909.0033918687188, 914.4865068635145, 197]"
74,"[1912.5389257746515, 833.1692270270615, 158]"
74,"[1845.3637815619295, 1075.7068529740473, 180]"
74,"[1926.6810613983826, 843.0687219636732, 166]"
74,"[1889.2044019954956, 985.1971849821692, 179]"
74,"[1905.4678579627862, 916.6078272070741, 189]"
74,"[1900.5181104944804, 989.4398256692886, 186]"
74,"[1925.973954617196, 947.0134187980956, 207]"
74,"[1914.6602461182113, 894.6875169902912, 187]"
74,"[1934.4592359914345, 781.5504320004435, 173]"
74,"[1915.3673528993977, 814.7844507162113, 157]"
74,"[1885.6688680895627, 1009.9459223236984, 200]"
74,"[1933.7521292102479, 835.9976541518078, 166]"
74,"[1940.8231970221136, 722.8605691619601, 154]"
74,"[1844.656674780743, 1089.1418818165916, 185]"
74,"[1892.0328291202418, 1006.4103884177657, 198]"
74,"[1930.2165953043154, 846.6042558696059, 167]"
74,"[1924.559741054823, 835.2905473706211, 170]"
74,"[1904.0536444004128, 882.6667017101198, 190]"
74,"[1923.8526342736363, 835.9976541518076, 170]"
74,"[1824.1505781263331, 1109.6479784710016, 177]"
74,"[1922.4384207112632, 939.2352442050437, 206]"
74,"[1899.8110037132938, 888.3235559596121, 190]"
74,"[1886.3759748707494, 1041.7657274770932, 199]"
74,"[1928.0952749607554, 770.9438302826453, 155]"
74,"[1910.417605431092, 883.3738084913064, 169]"
74,"[1937.9947698973674, 732.7600640985717, 159]"
74,"[1846.0708883431162, 1067.9286783809953, 185]"
74,"[1936.580556334994, 762.4585489084067, 154]"
74,"[1922.4384207112632, 861.4534982745233, 166]"
74,"[1917.4886732429575, 976.7119036079307, 208]"
74,"[1930.2165953043154, 872.0600999923216, 166]"
74,"[1907.5891783063457, 890.4448763031719, 179]"
74,"[1926.6810613983826, 868.5245660863889, 171]"
74,"[1843.24246121837, 1090.5560953789648, 185]"
74,"[1901.2252172756669, 937.8210306426706, 194]"
74,"[1905.4678579627862, 995.8037866999674, 184]"
74,"[1909.7104986499053, 920.8504678941935, 202]"
74,"[1909.7104986499053, 915.193613644701, 187]"
74,"[1908.2962850875324, 927.9215357060589, 196]"
74,"[1892.0328291202418, 995.0966799187809, 179]"
74,"[1942.9445173656732, 777.3077913133243, 164]"
74,"[1865.162771435153, 1074.2926394116744, 187]"
74,"[1897.6896833697342, 1007.8246019801387, 187]"
74,"[1910.417605431092, 821.1484117468901, 179]"
74,"[1904.0536444004128, 912.3651865199548, 200]"
74,"[1832.6358595005718, 1064.3931444750626, 173]"
74,"[1908.2962850875324, 909.5367593952086, 169]"
74,"[1831.2216459381987, 1058.7362902255702, 174]"
74,"[1906.8820715251593, 874.1814203358813, 178]"
74,"[1902.63943083804, 878.4240610230006, 178]"
74,"[1908.2962850875324, 889.7377695219853, 167]"
74,"[1939.4089834597403, 804.8849557795996, 163]"
74,"[1852.434849373795, 1079.9494936611666, 189]"
74,"[1909.0033918687188, 887.6164491784257, 163]"
74,"[1863.0414510915932, 1077.828173317607, 193]"
74,"[1921.7313139300768, 887.6164491784257, 160]"
74,"[1878.5978002776974, 1036.8159800087874, 197]"
79,"[845.5147929641514, 1853.5243122792497, 286]"
79,"[841.9792590582185, 1891.0009716821367, 292]"
80,"[513.1746058064739, 2272.131526741686, 174]"
80,"[503.98221765104904, 2248.7970029625294, 156]"
80,"[525.1954210866452, 2234.654867338799, 174]"
80,"[516.0030329312201, 2256.575177555582, 168]"
80,"[535.8020228044436, 2188.692926561673, 159]"
80,"[496.9111498391833, 2292.637623396096, 167]"
80,"[532.9735956796974, 2178.793431625061, 162]"
80,"[540.0446634915627, 2177.3792180626883, 161]"
80,"[542.1659838351225, 2131.4172772855627, 167]"
80,"[511.7603922441008, 2226.876692745747, 157]"
80,"[536.50912958563, 2124.3462094736974, 155]"
80,"[489.84008202731775, 2308.1939725822, 147]"
80,"[515.2959261500334, 2237.483294463545, 164]"
80,"[503.98221765104904, 2270.010206398126, 159]"
80,"[529.4380617737647, 2231.8264402140526, 163]"
80,"[501.86089730748927, 2246.67568261897, 160]"
80,"[495.4969362768104, 2289.8091962713493, 148]"
80,"[503.9822176510488, 2272.8386335228724, 158]"
80,"[553.4796923341071, 2152.6304807211595, 168]"
80,"[492.6685091520642, 2302.537118332707, 149]"
80,"[498.3253634015564, 2282.738128459484, 165]"
80,"[531.559382117324, 2242.4330419318508, 171]"
80,"[542.1659838351225, 2113.0325009747125, 162]"
80,"[484.1832277778253, 2296.880264083215, 148]"
88,"[586.713711049875, 2093.9406178826757, 119]"
88,"[590.2492449558076, 2103.133006038101, 123]"
89,"[76.18261503318763, 2620.0280630854672, 272]"
89,"[81.13236250149339, 2634.8773054903845, 278]"
89,"[69.11154722132187, 2642.655480083437, 268]"
89,"[103.05267271827597, 2584.67272402614, 279]"
90,"[627.7259043586946, 2068.4847737599603, 69]"
90,"[620.6548365468293, 2054.342638136229, 70]"
91,"[1563.2281758684971, 1149.9530649986348, 128]"
91,"[1575.9560979298549, 1168.337841309485, 147]"
91,"[1563.9352826496836, 1166.2165209659254, 148]"
91,"[1554.0357877130718, 1174.701802340164, 130]"
91,"[1557.5713216190047, 1166.9236277471118, 130]"
91,"[1574.541884367482, 1114.5977259393073, 138]"
91,"[1568.8850301179896, 1179.6515498084698, 136]"
91,"[1571.7134572427358, 1144.2962107491423, 140]"
91,"[1566.0566029932434, 1186.7226176203353, 140]"
91,"[1576.6632047110415, 1153.4885989045677, 144]"
93,"[1568.8850301179893, 1185.3084040579622, 197]"
93,"[1573.8347775862953, 1166.2165209659254, 200]"
93,"[1573.8347775862953, 1143.589103967956, 183]"
93,"[1568.177923336803, 1156.3170260293136, 180]"
93,"[1580.1987386169742, 1127.3256480006653, 192]"
93,"[1566.76370977443, 1173.2875887777907, 180]"
93,"[1556.1571080566314, 1178.237336246097, 181]"
93,"[1580.9058453981606, 1128.032754781852, 192]"
93,"[1572.4205640239222, 1140.7606768432097, 194]"
93,"[1573.1276708051087, 1147.1246378738886, 180]"
93,"[1556.8642148378183, 1163.3880938411792, 182]"
95,"[606.5127009230982, 2084.041122946064, 91]"
95,"[612.8766619537773, 2091.819297539116, 97]"
95,"[611.462448391404, 2104.547219600474, 88]"
95,"[612.8766619537771, 2087.5766568519966, 95]"
95,"[606.5127009230982, 2115.153821318272, 104]"
95,"[593.0776720805538, 2131.4172772855627, 105]"
97,"[520.2456736183392, 2252.3325368684627, 143]"
97,"[530.8522753361376, 2196.471101154725, 140]"
97,"[519.5385668371528, 2250.2112165249027, 126]"
97,"[516.7101397124065, 2233.240653776426, 129]"
97,"[511.0532854629146, 2282.738128459484, 135]"
97,"[511.05328546291435, 2284.1523420218573, 139]"
97,"[532.9735956796972, 2167.479723126077, 134]"
97,"[523.7812075242718, 2245.9685758377836, 137]"
97,"[530.1451685549512, 2211.3203435596424, 124]"
97,"[516.0030329312201, 2248.089896181343, 144]"
97,"[511.0532854629146, 2277.0812742099915, 136]"
97,"[525.1954210866452, 2228.9980130893064, 141]"
97,"[513.8817125876603, 2272.8386335228724, 133]"
97,"[516.0030329312203, 2287.6878759277897, 131]"
97,"[549.9441584281744, 2158.994441751838, 135]"
98,"[590.2492449558076, 2141.3167722221747, 225]"
98,"[564.7934008330919, 2200.7137418418447, 225]"
98,"[567.6218279578379, 2172.4294705943826, 221]"
98,"[559.1365465835995, 2163.944189220144, 191]"
98,"[557.01522624004, 2181.621858749808, 191]"
98,"[568.3289347390248, 2216.977197809135, 205]"
98,"[561.2578669271593, 2242.4330419318508, 196]"
98,"[560.5507601459724, 2228.998013089307, 200]"
98,"[554.186799115294, 2212.7345571220158, 194]"
98,"[549.2370516469878, 2204.956382528964, 182]"
98,"[540.0446634915627, 2276.3741674288053, 184]"
98,"[578.2284296756363, 2171.722363813196, 224]"
98,"[548.5299448658011, 2238.1904012447317, 192]"
98,"[552.7725855529209, 2211.3203435596424, 195]"
98,"[562.6720804895322, 2183.0360723121807, 189]"
98,"[560.5507601459726, 2209.199023216083, 223]"
98,"[566.207614395465, 2195.0568875923523, 199]"
98,"[574.6928957697035, 2195.0568875923523, 221]"
98,"[559.1365465835997, 2204.956382528964, 187]"
98,"[558.4294398024131, 2161.8228688765844, 191]"
98,"[565.5005076142784, 2221.2198384962544, 209]"
98,"[571.1573618637708, 2198.5924214982847, 202]"
98,"[553.4796923341073, 2213.4416639032024, 190]"
98,"[599.4416331112327, 2119.396462005391, 227]"
98,"[575.4000025508901, 2161.8228688765844, 201]"
98,"[589.542138174621, 2146.2665196904804, 222]"
98,"[590.9563517369943, 2134.9528111914956, 228]"
98,"[555.6010126776666, 2168.89393668845, 194]"
99,"[1925.973954617196, 774.479364188578, 192]"
99,"[1931.6308088666883, 777.3077913133243, 187]"
100,"[584.5923907063154, 2203.5421689665905, 53]"
100,"[547.8228380846149, 2217.6843045903215, 40]"
100,"[590.9563517369943, 2188.692926561673, 57]"
100,"[576.1071093320768, 2141.316772222174, 49]"
100,"[533.6807024608838, 2253.039643649649, 36]"
100,"[616.4121958597098, 2140.609665440988, 74]"
100,"[573.2786822073306, 2152.630480721159, 48]"
100,"[576.8142161132632, 2167.479723126077, 53]"
100,"[525.9025278678316, 2214.148770684389, 34]"
100,"[605.8055941419116, 2130.00306372319, 63]"
100,"[549.237051646988, 2168.186829907263, 39]"
100,"[531.559382117324, 2225.462479183374, 35]"
100,"[557.01522624004, 2149.0949468152266, 40]"
100,"[620.6548365468291, 2125.0533162548836, 75]"
100,"[558.4294398024128, 2157.5802281894653, 40]"
100,"[583.1781771439421, 2186.5716062181136, 51]"
100,"[589.542138174621, 2185.864499436927, 55]"
100,"[590.2492449558076, 2165.3584027825173, 56]"
100,"[601.5629534547923, 2117.275141661832, 62]"
100,"[571.157361863771, 2216.977197809135, 48]"
100,"[580.3497500191961, 2178.086324843875, 51]"
100,"[548.5299448658013, 2178.7934316250617, 38]"
100,"[566.9147211766515, 2166.065509563704, 49]"
100,"[586.713711049875, 2168.8939366884497, 57]"
100,"[522.366993961899, 2254.4538572120223, 32]"
100,"[541.458877053936, 2216.977197809135, 37]"
101,"[332.86237660390407, 2400.117854136451, 171]"
101,"[330.0339494791583, 2398.703640574078, 167]"
101,"[330.0339494791583, 2398.703640574078, 168]"
101,"[339.22633763458316, 2388.0970388562796, 171]"
101,"[333.56948338509073, 2392.3396795433987, 174]"
101,"[322.96288166729255, 2425.5736982591666, 179]"
101,"[338.51923085339695, 2380.3188642632276, 173]"
101,"[331.4481630415312, 2381.733077825601, 174]"
103,"[2398.32128444981, 464.7665940288702, 218]"
103,"[2410.342099729981, 428.70414818835627, 243]"
103,"[2391.2502166379445, 600.5310960166873, 237]"
103,"[2388.4217895131983, 553.8620484583752, 232]"
103,"[2399.7354980121827, 368.60007178749976, 223]"
103,"[2430.848196384391, 526.9919907732864, 258]"
