,sig_xx,sig_yy,sig_zz,sig_xy,sig_xz,sig_yz,eps_xx,eps_yy,eps_zz,eps_xy,eps_xz,eps_yz,Azimuth,Elevation
976,-2.460754449632435e-16,2.1736212488397476e-16,4.250162959408784e-15,-9.943039239142017e-16,2.56322630130309e-15,-9.743053299511992e-16,-2.220446049250313e-16,-2.220446049250313e-16,8.881784197001252e-16,-5.568460274391747e-16,1.1228073533116364e-15,-3.02018018046658e-16,0.0883331695634158,-0.0254006130717431
977,2.724538160362145e-15,-2.7588460369962315e-14,-1.6516783538948285e-14,2.180448307469631e-15,-3.317253556619064e-15,-2.160041904158624e-14,2.220446049250313e-15,-1.3433698597964394e-14,8.659739592076221e-15,-1.905685634098554e-15,-5.790234408838631e-15,2.299080023077745e-16,0.106087953262823,0.0570778246599184
978,5.402980398864219e-16,-2.3462818241389848e-15,-1.4581034044388587e-15,-1.9742335443526942e-16,7.610627081155039e-16,-1.5128781669702688e-16,6.661338147750939e-16,-7.771561172376096e-16,-3.3306690738754696e-16,-9.871167721763969e-17,3.80531354057751e-16,-7.564390834851533e-17,-0.1295108033818515,0.0012446507386111
979,-4.857366546019031e-18,-3.242719273990757e-15,-4.857366546017439e-18,2.9433621311357082e-15,7.772367047812297e-16,1.798975692843291e-15,2.220446049250313e-16,-1.6653345369377348e-15,2.220446049250313e-16,1.3866385719916e-15,3.886183523906174e-16,1.145186697261885e-15,0.0883331695634158,-0.0254006130717431
980,1.1574140723343858e-15,-1.8023756261769484e-15,-1.312367878495354e-16,1.1097729588041168e-15,6.24465942604309e-16,9.778672482515128e-16,8.881784197001252e-16,-4.440892098500626e-16,2.220446049250313e-16,6.272130860205948e-16,2.4614245614834077e-16,4.159223078494615e-16,-0.0579948281698747,-0.1035985688763634
981,1.9529005364106787e-15,-1.617438324082036e-15,-1.4662742513746868e-15,1.2928211798591281e-15,7.48763477448013e-16,-2.512891835780441e-15,2.6645352591003757e-15,-5.551115123125783e-16,2.4424906541753444e-15,8.824585187971936e-16,-1.8644636546619534e-15,-1.4933317378210311e-15,0.0,0.0
982,-7.590056058770765e-16,-2.7429299736885194e-16,2.349618863073368e-15,4.51590495219057e-16,5.656872004699705e-16,2.572660917707099e-15,-4.440892098500626e-16,-4.440892098500626e-16,1.1102230246251565e-15,2.6466660050163827e-16,2.8284360023498433e-16,9.628461727011924e-16,-0.0415226112750255,-0.0594658932879778
983,-1.7886141114061756e-16,1.368569232378668e-16,-2.2135319216817427e-16,1.0628293587896853e-15,-5.436665758941521e-16,2.424848325510261e-16,-1.1102230246251565e-16,0.0,0.0,5.154212311841653e-16,-1.755957498461214e-16,-1.3578282270797972e-17,0.0883331695634158,-0.0254006130717431
984,-1.654735336270004e-15,1.2162150313024303e-16,1.1501114149038314e-15,2.528901457069194e-16,4.3995816521430224e-16,-1.5822794407295732e-16,-8.881784197001252e-16,0.0,6.661338147750939e-16,1.2644507285346006e-16,-2.2336199555411294e-16,4.200250082497398e-17,0.0605741745389617,-0.0618426283830908
985,3.391827188663113e-16,-5.50979075041981e-16,-5.872860151018387e-16,7.033100476439629e-16,-2.9166818001831853e-16,3.95669318632966e-16,2.220446049250313e-16,-1.1102230246251565e-16,0.0,3.4867329089950087e-16,-1.5621030560919155e-16,1.3200752123655042e-16,0.0883331695634158,-0.0254006130717431
