Node,Azi_[RAD],Ele_[RAD]
"[72.24283282472649, 200.0181423440305, 89.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[122.12594403598335, 203.43491786374997, 89.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[172.0090552472402, 206.8516933834694, 90.0]",-0.0683913329166616,-0.0085873193136454
"[221.89216645849706, 210.26846890318885, 90.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[271.7752776697539, 213.6852444229083, 90.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-23.92368941664384, 45.86886404536304, 35.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[25.95942179461302, 49.28563956508249, 35.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[75.84253300586988, 52.70241508480194, 36.0]",-0.0683913329166616,-0.0085873193136454
"[125.72564421712674, 56.11919060452139, 36.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[175.6087554283836, 59.535966124240844, 36.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[2.9463682684449566, 170.3196575341955, 45.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[52.82947947970182, 173.73643305391496, 45.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[102.71259069095868, 177.1532085736344, 46.0]",-0.0683913329166616,-0.0085873193136454
"[152.59570190221552, 180.56998409335384, 46.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[202.4788131134724, 183.9867596130733, 46.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-29.580543666136265, 17.58459279790114, 29.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[20.302567545120596, 21.00136831762059, 29.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[70.18567875637746, 24.41814383734004, 30.0]",-0.0683913329166616,-0.0085873193136454
"[120.06878996763432, 27.83491935705949, 30.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[169.95190117889118, 31.251694876778938, 30.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[22.745358141667992, 209.91763728064203, 59.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[72.62846935292485, 213.3344128003615, 59.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[122.51158056418171, 216.75118832008093, 60.0]",-0.0683913329166616,-0.0085873193136454
"[172.39469177543856, 220.16796383980036, 60.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[222.27780298669543, 223.58473935951983, 60.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-4.124699543420803, 20.413019922647127, 46.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[45.75841166783606, 23.829795442366574, 46.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[95.64152287909292, 27.246570962086025, 47.0]",-0.0683913329166616,-0.0085873193136454
"[145.52463409034976, 30.663346481805476, 47.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[195.40774530160664, 34.08012200152493, 47.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[29.109319172347085, 206.38210337470915, 73.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[78.99243038360395, 209.7988788944286, 73.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[128.8755415948608, 213.21565441414805, 74.0]",-0.0683913329166616,-0.0085873193136454
"[178.75865280611765, 216.63242993386748, 74.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[228.64176401737453, 220.04920545358695, 74.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[26.987998828787084, 16.170379235528035, 58.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[76.87111004004394, 19.587154755247482, 58.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[126.7542212513008, 23.003930274966933, 59.0]",-0.0683913329166616,-0.0085873193136454
"[176.63733246255765, 26.420705794686384, 59.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[226.52044367381453, 29.83748131440583, 59.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-25.337902979017173, 177.3907253460608, 27.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[24.545208232239688, 180.80750086578027, 27.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[74.42831944349655, 184.2242763854997, 28.0]",-0.0683913329166616,-0.0085873193136454
"[124.31143065475341, 187.64105190521914, 28.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[174.19454186601027, 191.0578274249386, 28.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-30.9947572285096, 204.2607830311496, 23.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[18.88835398274726, 207.67755855086907, 23.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[68.77146519400412, 211.0943340705885, 24.0]",-0.0683913329166616,-0.0085873193136454
"[118.65457640526098, 214.51110959030794, 24.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[168.53768761651784, 217.9278851100274, 24.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[20.624037798108446, 178.09783212724747, 61.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[70.5071490093653, 181.51460764696694, 61.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[120.39026022062217, 184.93138316668637, 62.0]",-0.0683913329166616,-0.0085873193136454
"[170.273371431879, 188.3481586864058, 62.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[220.1564826431359, 191.76493420612528, 62.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[2.9463682684449566, 76.98156241757115, 49.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[52.82947947970182, 80.3983379372906, 49.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[102.71259069095868, 83.81511345701006, 50.0]",-0.0683913329166616,-0.0085873193136454
"[152.59570190221552, 87.23188897672951, 50.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[202.4788131134724, 90.64866449644896, 50.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[66.58597857523407, 207.0892101558958, 88.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[116.46908978649093, 210.50598567561528, 88.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[166.3522009977478, 213.92276119533472, 89.0]",-0.0683913329166616,-0.0085873193136454
"[216.23531220900463, 217.33953671505415, 89.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[266.1184234202615, 220.75631223477362, 89.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[96.28446338506907, 177.3907253460608, 94.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[146.16757459632595, 180.80750086578027, 94.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[196.0506858075828, 184.2242763854997, 95.0]",-0.0683913329166616,-0.0085873193136454
"[245.93379701883964, 187.64105190521914, 95.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[295.8169082300965, 191.0578274249386, 95.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[35.47328020302572, 200.0181423440305, 71.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[85.35639141428258, 203.43491786374997, 71.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[135.23950262553944, 206.8516933834694, 72.0]",-0.0683913329166616,-0.0085873193136454
"[185.1226138367963, 210.26846890318885, 72.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[235.00572504805316, 213.6852444229083, 72.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-11.195767355286108, 11.927738548408943, 36.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[38.68734385597075, 15.344514068128392, 36.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[88.57045506722761, 18.76128958784784, 37.0]",-0.0683913329166616,-0.0085873193136454
"[138.45356627848446, 22.178065107567292, 37.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[188.33667748974133, 25.59484062728674, 37.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[48.20120226438391, 65.66785391858653, 67.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[98.08431347564077, 69.08462943830598, 67.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[147.96742468689763, 72.50140495802543, 68.0]",-0.0683913329166616,-0.0085873193136454
"[197.85053589815448, 75.91818047774488, 68.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[247.73364710941135, 79.33495599746433, 68.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-0.5891656374879233, 110.21558113333882, 44.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[49.29394557376894, 113.63235665305827, 44.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[99.1770567850258, 117.04913217277772, 45.0]",-0.0683913329166616,-0.0085873193136454
"[149.06016799628264, 120.46590769249717, 45.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[198.94327920753952, 123.88268321221662, 45.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-30.9947572285096, 188.70443384504566, 27.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[18.88835398274726, 192.12120936476512, 27.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[68.77146519400412, 195.53798488448456, 28.0]",-0.0683913329166616,-0.0085873193136454
"[118.65457640526098, 198.954760404204, 28.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[168.53768761651784, 202.37153592392346, 28.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[15.674290329802687, 166.07701684707595, 59.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[65.55740154105955, 169.49379236679542, 59.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[115.44051275231641, 172.91056788651485, 60.0]",-0.0683913329166616,-0.0085873193136454
"[165.32362396357325, 176.3273434062343, 60.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[215.20673517483013, 179.74411892595376, 60.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-16.852621604778534, 116.57954216401791, 38.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[33.030489606478326, 119.99631768373736, 38.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[82.91360081773519, 123.41309320345681, 39.0]",-0.0683913329166616,-0.0085873193136454
"[132.79671202899203, 126.82986872317626, 39.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[182.6798232402489, 130.2466442428957, 39.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[-34.53029113444248, 303.96283917845284, 31.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[15.352820076814382, 307.37961469817225, 31.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[65.23593128807124, 310.7963902178917, 32.0]",-0.0683913329166616,-0.0085873193136454
"[115.1190424993281, 314.2131657376112, 32.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[165.00215371058496, 317.6299412573306, 32.05868332730519]",-0.0683913329166616,-0.0085873193136454
