ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
328,79345,31,"[1799.4956037133334, 1316.4018355011274, 201.95851952951162]",0.1036752236048361,0.0042371468301573
329,100838,37,"[1106.3762726935927, 1978.7980990627268, 196.62505289917564]",0.1949898899265529,0.1014005212682236
330,24835,10,"[605.0789839121599, 2481.43185967132, 198.24175558687335]",-0.0809619342692475,-0.0087789037026845
331,50204,19,"[743.3534125585622, 2363.3757666215806, 184.78846307067167]",0.1524741261432814,-0.1476615034137393
332,89503,34,"[432.42323477805485, 2707.9433229865103, 149.81850642248565]",0.119774059469095,0.077361006233923
333,20059,8,"[668.9908498296911, 2422.073697711599, 267.9705369160975]",0.1529793990272732,-0.0349927217861293
334,242189,89,"[2451.32423042584, 849.3038622908175, 204.54540835559874]",-0.1477319668087736,0.0367738431876064
335,46164,18,"[1323.9429721919141, 1828.9199702910505, 269.8351938959953]",-0.1965311577129654,0.1682320975432614
337,20301,8,"[519.7192010801571, 2595.0382943205695, 167.99389192650608]",0.0131467280945478,0.1142523362613864
338,31794,12,"[589.2891107527942, 2541.1723128280214, 218.27511480153487]",-0.1387314889149164,0.0661976140392237
339,42535,16,"[550.8207813219217, 2590.7881378959974, 188.13715763488892]",0.0974092262861996,0.1803912029064944
340,102856,38,"[2780.858628368033, 437.81674827791795, 49.926013066811855]",0.0232658653756071,0.0949335677701482
341,115173,43,"[364.6840894463503, 2762.245573703549, 84.72137860061007]",0.0908049941554801,-0.1313973917506514
343,18562,7,"[2012.0798429453134, 1125.4047037840876, 182.15434759185433]",0.074818705518588,-0.0463624753857063
346,26278,10,"[2415.7776568423824, 719.5826053187992, 109.8621660704772]",0.0386526199289361,-0.0256548204790868
347,3827,2,"[1938.3692944454376, 1172.1538528986791, 215.45414162529397]",-0.2374476912313347,0.0741700458450503
348,51960,20,"[2084.9602365628057, 1068.538126083069, 72.94352241527601]",-0.0121988731883205,-0.1185282689776663
351,32828,12,"[1033.2516649089257, 2169.3345752720593, 263.70592177409526]",0.1628909474152505,-0.2102638277583088
352,83862,31,"[2651.520858384796, 601.0844238100692, 265.63754739929885]",-0.2024184527383166,0.050872737850802
354,3805,2,"[1885.328416151814, 1235.689715758451, 220.7831800262812]",0.1720118684550786,0.0137630251873826
355,65838,24,"[1033.6816125796358, 2109.761807223664, 171.92384337312797]",0.2014439799923569,-0.2337251347991947
358,266842,98,"[2044.9283722919722, 1239.2776198841186, 30.509072784644097]",0.106422603151456,-0.0745624435316664
360,14169,6,"[344.98142269906884, 2831.12803687476, 77.11277664844025]",-0.3815508802706084,0.6524176333703628
364,51145,20,"[2291.032155942039, 867.4658323484379, 37.63988775318947]",-0.3310490983478479,0.2503154516273004
365,18669,7,"[1157.98228358, 2022.7079329260378, 40.54962772510579]",0.3000572549695427,0.2737140005454472
366,36934,14,"[2635.88247459652, 609.5547771553848, 5.95822277576217]",0.2024319595420702,-0.0398221653595661
369,10607,4,"[605.0608221084037, 2565.147390543675, 252.99943433581598]",0.3117374566060742,0.0400772911804913
370,28360,11,"[476.28372802266995, 2708.7247352209565, 222.0583568406206]",0.2474902452282792,0.0277828758306922
371,30970,12,"[536.8731628603875, 2657.2115140516735, 252.13161123668067]",0.3210561954398087,0.3942088266189091
373,6507,3,"[1040.5057634897757, 2137.1269444896666, 204.1956354694944]",0.2791548369086526,0.1534950715815488
374,13654,5,"[996.9784223273016, 2194.548282370583, 129.02226453786437]",0.1978007787617276,-0.1281612800387458
375,280507,103,"[2593.28462545582, 678.3586494898459, 103.91522061319064]",-0.0981877045757643,-0.122048356397954
378,32745,12,"[432.85537334253195, 2789.2800581942306, 238.47533974652617]",0.1817750525262879,-0.0381126832577626
379,6221,3,"[793.5402280894198, 2396.3907955678756, 161.15094036328566]",0.3215598106460748,0.0277951517940513
380,46868,18,"[442.88790811721447, 2772.9867200914805, 264.9972049159341]",0.3258875362846491,0.0794897060075416
381,6222,3,"[2063.968081796286, 1250.3005180296343, 277.8055287688846]",-0.1945833724948832,-0.0463624753857063
383,18596,7,"[1205.0940672385918, 2012.2575787362512, 125.69590234459024]",0.2081747468711023,-0.186773873945161
384,4406,2,"[2055.002004689374, 1142.2116419836336, 81.37153881071266]",0.1536117795910127,-0.1732855557862312
385,107591,41,"[967.3891673817207, 2297.315048669571, 142.94158199262665]",0.1245395465969055,-0.1042778126593805
386,43270,17,"[2855.3884375824814, 467.297962483682, 217.09128291366002]",-0.3292508796385899,0.0828101184694103
392,3272,2,"[1171.6723340634649, 2033.7070925325738, 60.566625916870414]",0.1454072320369281,-0.0939816218860804
393,7332,3,"[415.70497024985616, 2796.4994255848815, 217.88270594653574]",-0.1339865218018417,0.1273920748043802
394,80136,30,"[2200.821627333419, 1073.9910352201798, 216.05516045649514]",0.0638109154236712,-0.0498251053037907
396,35910,14,"[980.6245270687043, 2295.002601197478, 268.8343636869953]",0.1049690510847253,-0.1072606466501331
398,57592,22,"[1015.3909766810971, 2222.1985894236873, 204.25354112178798]",0.1625595060888486,-0.1330036008449351
400,58833,22,"[1269.772720028277, 2150.211008015475, 9.243077864463821]",0.1185881222685365,-0.0188960545034123
402,12211,5,"[2794.724905887047, 440.6053847687364, 13.962902301203833]",0.2138681930615676,0.1673364704947122
403,4678,2,"[2163.032032055248, 1079.6331245946803, 198.15925609234716]",-0.1879815737709175,-0.0463624753857063
404,20402,8,"[2006.5777504718087, 1240.5446661554342, 131.26654249583373]",0.0124320610328934,0.0087731207128826
406,22822,9,"[2247.6633575020855, 996.2091136174804, 22.387126456927525]",-0.02953673769505,0.0714494927970168
408,33996,13,"[412.6091746921079, 2881.1059847397887, 166.48020355335922]",0.0195755576537788,0.4073684294017475
409,32420,12,"[951.2039846067062, 2324.6375204894116, 13.171838371375694]",0.2725414139017388,0.2808541358633548
410,34151,14,"[2006.7805603517668, 1255.3520223042115, 72.02828355682192]",0.0337430961041426,-0.1045023093843667
411,42851,16,"[976.6899902602947, 2287.0052409058735, 240.25369302933422]",0.1965452684860956,0.1229178181271292
412,7045,3,"[1147.10120493621, 2103.8511535213356, 86.13356990773599]",-0.0700284126240663,-0.2826157786673836
413,30261,12,"[2862.3351245096055, 452.5014307228284, 88.05591355209675]",-0.0181085042856142,0.2297651756634165
415,205997,77,"[1919.7963139034628, 1447.5945368795942, 80.2865204725063]",-0.1404122472683231,0.0694350694795926
416,3165,2,"[2086.1413483549854, 1157.3373598901917, 198.80568720379148]",0.2590547656459103,-0.0192613642497627
419,283811,104,"[1309.7908637503072, 2031.2319312410657, 209.03756317909279]",0.0502220516507157,-0.0717850740394419
420,193273,72,"[2678.8180058576677, 831.4359594382618, 219.25780283047274]",-0.0926998550963555,-0.2166384344462582
421,8886,4,"[687.0864284566694, 2655.321810804637, 2.519806437092055]",0.1750204304353067,-0.0016269659444567
422,67285,25,"[2518.1436260878027, 809.3390716804786, 10.758341383666494]",0.2214210629145383,-0.1144768920165559
423,73634,27,"[1551.1760644343767, 1800.8506957005516, 260.8479506749599]",-0.0612645405387352,0.1565229353278733
424,41552,16,"[1961.1891476193791, 1382.2308989194453, 144.14101869475905]",0.0981733323521715,0.0270356768507822
425,24176,9,"[2218.709200934204, 1111.2662281396601, 152.35961283917936]",0.0085425314852152,0.0211032615587238
429,39088,15,"[1122.6826876957834, 2175.0900032748955, 100.19097932869423]",0.2458517259271317,0.0856150741004618
432,90256,34,"[2035.0813558752914, 1321.0207728483729, 200.62751233742188]",0.097613129954806,-0.0216781032004723
433,160391,60,"[891.9407783424026, 2446.040953012687, 239.39659744383977]",-0.0318753435967811,0.3636352591182804
434,5516,3,"[1596.6743522570102, 1700.0694497589882, 269.91298042059464]",0.0678610276651489,0.0319465219316858
437,12170,5,"[435.4775732438234, 2891.117812561038, 195.88529170090385]",0.1677487171462603,0.1619564334484919
442,90282,33,"[2885.587665095891, 578.4577837510964, 264.6934604904632]",-0.2250199200839288,0.0236673212399804
443,23312,9,"[2636.4433452175886, 730.0536031872414, 106.08381949210707]",-0.0873962578467755,-0.0870753293231821
444,226429,83,"[1382.9123296472605, 2028.8439123313854, 75.13966633242015]",-0.0245345961351056,0.0208550141083778
445,18453,8,"[2143.2353593098655, 1209.1662243870787, 211.31664180297994]",0.368367715824569,0.0298624789262304
446,27903,11,"[838.5053305920255, 2516.8553728805136, 194.21528151094864]",0.1687447647920796,0.133607596005281
447,24530,9,"[756.8493678441346, 2612.660604245303, 165.04219323277619]",0.0641962772228781,0.0875882851750206
448,74437,28,"[669.8494695544066, 2755.0633849667065, 145.91983093763358]",0.0827776721877845,0.0238252301807978
449,2840,2,"[1169.0719171594565, 2167.770035276381, 121.67676056338028]",-0.0967484931199551,-0.1540485661842756
450,48452,18,"[970.2832386902351, 2397.051895641058, 183.73784363906546]",0.1727182118585411,-0.2218618317612208
452,14018,6,"[887.7573359305484, 2490.778295574539, 274.94507062348407]",0.196891407254795,-0.0815907833164771
453,46731,18,"[785.7733261137935, 2623.8041261774592, 186.59660610729495]",0.1017443766434377,0.1238587831315759
455,116811,44,"[1925.6601236504764, 1514.860993273613, 236.4771885514789]",-0.4558513741561587,0.101107870968644
458,42319,16,"[636.9004139192598, 2769.4606840076917, 120.8992414754602]",0.0345141445464899,-0.0942169218079583
460,33187,14,"[822.0726125095216, 2568.201057347498, 212.58061056300465]",0.1071526470538285,-0.037828504789553
461,153811,57,"[585.4228354246063, 2860.366511934515, 73.67932481269203]",0.1237323017191282,-0.1397271460850671
462,38736,15,"[2431.1479447801394, 974.9867684990244, 173.14027230416013]",-0.3481488998955364,0.5572536663057099
464,56625,21,"[1261.6858138382133, 2134.27104162283, 170.3268344370861]",0.1100674314798899,-0.3001758373367036
465,234525,87,"[2818.874226433108, 639.2175405325445, 105.4370380043401]",-0.2012337201159813,-0.0876442092465693
466,98380,36,"[1297.9413837695824, 2193.883548898427, 42.93070746086603]",0.2398676836313523,0.1590174461957885
467,53276,20,"[2657.26385142842, 804.9634760085489, 171.9524926796306]",-0.2623558055603429,-0.0967067763764289
468,7709,3,"[2595.8150435297616, 794.1300349976973, 81.19924763263718]",0.0022994563767975,-0.0463624755857063
473,69471,26,"[2285.855427221073, 1187.6650704163278, 42.41790099465964]",-0.0880376704006851,0.0674240519357668
475,20536,8,"[530.447727343726, 2897.39383136765, 35.32654850019478]",0.1425051945872217,0.0737609648615584
476,32927,12,"[487.5391234469125, 2951.573912079045, 22.0720077747745]",0.0430973558677169,0.2078151054707769
477,107294,40,"[2479.0484047883137, 997.0560811672394, 33.92936123243385]",-0.0359522809773772,-0.0303196643152961
478,18440,7,"[710.1698384434144, 2706.3781869409218, 160.22933839479393]",0.0006327378295736,0.1134323554537984
480,24229,9,"[2312.9967801373537, 1273.2836170514017, 275.4692403590407]",-0.059036597493589,-0.0602467914023164
483,25853,10,"[2027.3941492312372, 1423.0556297732178, 268.63288593200014]",0.0101058605031339,0.0077935909083227
484,6491,3,"[1269.2197995899533, 2141.9916338011994, 203.9625635495301]",0.0197130127761957,0.1485581608072938
487,5892,4,"[2443.9765632451877, 988.326104230775, 197.6394669011903]",-0.3419436612451422,-0.0149389125040101
488,14310,6,"[526.6852372608432, 2936.4477237700144, 273.82732354996506]",0.0574872073083593,-0.0463624755857063
489,10104,4,"[2233.276725150645, 1209.5224023936476, 99.77098178939033]",0.0324514791385471,-0.1703434446137229
490,16090,6,"[1234.2676866536644, 2215.2003338329428, 130.78570540708515]",0.078971213579713,-0.1582068659790307
491,33370,13,"[1210.345932805356, 2302.703692093777, 270.2024572969733]",0.0531195996181287,-0.1011078379713354
492,22704,9,"[820.7685783344473, 2624.712988101323, 267.9458245243129]",0.2231805323515153,-0.1608629457891899
493,240697,90,"[1531.0205078838753, 2038.9928427571267, 206.63883080774568]",-0.1688173813432409,0.0865346283905933
494,288455,108,"[2890.364526950568, 751.5024306844788, 207.9222932535686]",-0.2900451897280933,-0.0045535218878796
495,61223,24,"[1247.4267585123562, 2229.7305248301004, 206.3049751457391]",0.0299450346131645,-0.141099222912747
496,64258,25,"[707.4754585409426, 2755.2305672016264, 216.8312011364458]",0.2709027033405104,0.1086513529661293
497,111773,41,"[1198.232962548222, 2320.3674966165745, 146.3498457395384]",0.0499837824039829,-0.1188299542359249
498,5537,3,"[1005.1953907523498, 2448.494327677148, 157.12624164710132]",0.3097050282608188,0.0474840720114267
499,80158,30,"[2429.905403507454, 1094.6954736359833, 215.60443467728638]",0.0166497023195785,-0.0483602353405225
500,34266,13,"[670.0992978253212, 2831.8078647428943, 229.9666725033561]",0.1491742193033231,0.0621414081325784
504,5936,3,"[2448.948629048561, 1069.153845706552, 142.9081873315364]",-0.166746555488821,-0.0976356187612833
505,3863,2,"[2411.286068063033, 1063.8524265274505, 130.58710846492363]",-0.6552814537750804,0.1102408008998333
508,5352,2,"[2396.595399568898, 1090.4008542601505, 196.5394245142003]",-0.054726260801348,-0.0463624755857063
509,6964,3,"[774.9712454833245, 2699.5414286378073, 267.23118897185526]",0.4659270804189225,0.171864507221667
510,49387,18,"[686.4533653992837, 2818.034241008788, 258.7583372142467]",0.2522438012355403,-0.1286850368423879
