,sig_xx,sig_yy,sig_zz,sig_xy,sig_xz,sig_yz,eps_xx,eps_yy,eps_zz,eps_xy,eps_xz,eps_yz,Azimuth,Elevation
10,3.360281267754275e-15,-4.144770159712621e-16,-1.3640656511194923e-15,-1.2821606053191368e-15,6.743806876266609e-16,-1.0103545427769494e-16,1.3322676295501878e-15,-5.551115123125783e-16,-1.3322676295501878e-15,-6.410803026595646e-16,4.1961446744130477e-16,1.5485510427936966e-16,0.0,0.0
11,2.206088037904696e-15,-6.804918261207162e-16,-9.026293074722204e-16,8.272916635447158e-17,-3.584339720320088e-17,-1.1217708416702265e-16,1.1102230246251565e-15,-3.3306690738754696e-16,-7.771561172376096e-16,4.136458317723931e-17,3.792573702788058e-16,4.833466540515964e-17,0.0,0.0
12,1.018860120940151e-15,-3.122566062173729e-17,-8.008906908233426e-17,3.975564508548979e-16,-2.0167375882158077e-16,-7.414057324555915e-19,2.220446049250313e-16,0.0,0.0,3.2258157998140696e-16,-1.0535303599925299e-16,4.930380657631324e-32,0.0,0.0
13,-8.310720634958992e-16,-2.9489863728234634e-16,-1.1867479859896566e-16,-2.698166126120904e-16,6.947524176591054e-18,-2.220931816649939e-17,2.220446049250313e-16,-2.220446049250313e-16,0.0,-3.8133252044084034e-16,-2.928216181921014e-16,1.0334547990310294e-16,0.0,0.0
14,-9.442507046725336e-16,-1.3932026552550175e-16,-9.763289707351688e-17,-4.463986285426933e-16,-7.877580324639666e-17,-2.4191243568684314e-17,-5.551115123125783e-16,0.0,-1.1102230246251565e-16,-2.483181172129117e-16,2.4140047233741843e-17,-2.644631412144301e-17,0.0,0.0
15,3.42564996823169e-16,-2.5422881092164243e-16,-5.098059136454072e-16,-2.6506351512003536e-16,-6.672840109477069e-17,-7.020306197791832e-18,2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-1.2212002770090544e-16,1.396353216248164e-16,-6.068595554535837e-17,0.0,0.0
16,3.96874471410799e-16,-4.721473843926602e-17,-4.98261483981296e-17,2.505925475180164e-16,3.937868516073497e-16,-1.4988179802406853e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,1.2529627375900836e-16,3.932234973855403e-16,-6.083606783586615e-17,0.0,0.0
17,1.2523590385711034e-15,9.363531447171556e-19,-3.900403660411113e-16,-1.0814939818773202e-15,9.376829566696531e-17,7.27684823598057e-17,4.440892098500626e-16,-3.3306690738754696e-16,-5.551115123125783e-16,-5.262948192242109e-16,1.7114304927603185e-16,7.944044257187788e-18,0.0,0.0
18,1.9012018601836538e-15,-2.127993468071344e-16,-1.031097639620567e-15,-2.518693350675724e-16,3.852021905810282e-16,-2.340162937996622e-16,8.881784197001252e-16,-3.3306690738754696e-16,-7.771561172376096e-16,-1.2515620827142571e-16,1.6102963819147454e-16,-3.7506766491011583e-17,-0.0719709631425981,-0.0295053241899653
19,3.0052292577545148e-15,-1.0339521119592535e-16,-6.772281064461066e-16,-8.905519026809184e-16,5.603020286445641e-16,-2.242176299811352e-16,1.3322676295501878e-15,-2.220446049250313e-16,-9.992007221626409e-16,-4.452759513404557e-16,5.423453399919877e-16,7.789280492645475e-17,0.0,0.0
